Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,40450,40700,39850,40050,36108.37109,11984996
2019-01-15,40050,41100,39850,41100,37055.03516,11492756
2019-01-16,41150,41450,40700,41450,37370.58594,8491595
2019-01-17,41700,42100,41450,41950,37821.37891,11736903
2019-01-18,42000,42400,41950,42300,38136.93359,11029256
2019-01-21,42700,42750,41900,42750,38542.64453,11355701
2019-01-22,42750,42850,41850,42150,38001.70313,9964356
2019-01-23,41350,42250,41350,42000,37866.46094,11071079
2019-01-24,43050,43100,42350,43050,38813.125,14747623
2019-01-25,44300,44750,43750,44750,40345.8125,22789395
2019-01-28,45000,45500,44600,45050,40616.28516,17998914
2019-01-29,45050,45500,44350,45500,41021.99609,16215017
2019-01-30,44800,46400,44800,46400,41833.42188,17505980
2019-01-31,46650,47050,46150,46150,41608.02344,21621145
2019-02-01,46650,46950,46250,46350,41788.33984,13832454
2019-02-07,46800,47100,46200,46200,41653.10547,15872001
2019-02-08,45700,45700,44650,44800,40390.88672,12689196
2019-02-11,44500,45000,44250,45000,40571.20703,11125044
2019-02-12,44650,46250,44650,46050,41517.875,13184367
2019-02-13,46400,46700,46000,46200,41653.10547,11299738
2019-02-14,46600,47500,46150,47500,42825.17188,17259341
2019-02-15,46750,46850,45650,46050,41517.875,10554643
2019-02-18,46500,46850,45850,46200,41653.10547,8183728
2019-02-19,45850,46150,45450,45950,41427.70313,6741395
2019-02-20,46750,47100,46500,46900,42284.21484,11506720
2019-02-21,46500,47200,46200,46950,42329.28906,8694009
2019-02-22,46500,47150,46450,47150,42509.61328,6895772
2019-02-25,47400,47550,47050,47350,42689.92188,7484716
2019-02-26,47350,47450,46500,46750,42148.97656,7985547
2019-02-27,47000,47250,46750,46750,42148.97656,8045211
2019-02-28,46400,46500,45100,45100,40661.36719,23569321
2019-03-04,46000,46100,44800,44850,40435.97656,12926539
2019-03-05,44600,45100,44150,44250,39895.02344,10612405
2019-03-06,44000,44300,43700,44000,39669.61719,10202544
2019-03-07,43400,44950,43400,44450,40075.34375,11049749
2019-03-08,44450,44800,43800,43800,39489.3125,7729069
2019-03-11,44400,44450,43650,43650,39354.07031,10717408
2019-03-12,44300,44950,44150,44650,40255.65234,11431977
2019-03-13,44250,44450,43700,43850,39534.38281,8108343
2019-03-14,43700,44300,43550,43850,39534.38281,18039161
2019-03-15,43800,44250,43700,44200,39849.94531,16814163
2019-03-18,43950,44150,43450,43700,39399.14844,8188876
2019-03-19,43750,43900,43550,43900,39579.46094,7609563
2019-03-20,43800,44200,43100,44050,39714.70313,9846242
2019-03-21,44600,46250,44050,45850,41337.55859,21138016
2019-03-22,46850,47000,46250,46550,41968.66406,12535911
2019-03-25,45300,45650,44800,45500,41021.99609,8699728
2019-03-26,45500,45700,44900,45250,40796.60156,9729811
2019-03-27,44750,45600,44250,45350,40886.75781,9568081
2019-03-28,44950,45200,44300,44850,40754.10156,6821306
2019-03-29,44500,44900,44200,44650,40572.36328,11491713
2019-04-01,45200,45450,44850,45050,40935.82813,7362129
2019-04-02,45550,46100,45350,45750,41571.89844,9480688
2019-04-03,46750,46750,45800,46600,42344.27734,12436570
2019-04-04,46150,47100,46150,46950,42662.31641,12650168
2019-04-05,46950,47550,46600,46850,42571.44141,8546339
2019-04-08,47250,47250,46150,46650,42389.70313,8507909
2019-04-09,46700,46950,46200,46650,42389.70313,6878761
2019-04-10,46400,46700,46050,46700,42435.13672,11883995
2019-04-11,46700,46800,46150,46250,42026.24219,13697399
2019-04-12,46050,46900,46000,46850,42571.44141,7668936
2019-04-15,47150,47500,47000,47050,42753.18359,8733019
2019-04-16,47400,47400,46800,47250,42934.91016,7730881
2019-04-17,47300,47600,47000,47050,42753.18359,5513658
2019-04-18,47200,47250,45500,45600,41435.59766,12808747
2019-04-19,45750,46000,45250,45300,41163,8479710
2019-04-22,45400,45900,45100,45350,41208.43359,6006957
2019-04-23,45050,45500,45000,45200,41072.13281,6920566
2019-04-24,45400,45650,44150,44750,40663.22266,13299267
2019-04-25,44250,45000,44100,44650,40572.36328,10868965
2019-04-26,44200,45000,43800,44850,40754.10156,9739982
2019-04-29,45150,46150,45100,46150,41935.375,8777517
2019-04-30,46000,46300,45350,45850,41662.77344,11121273
2019-05-02,45500,46150,45400,45900,41708.20313,8625126
2019-05-03,45900,46050,45300,45300,41163,6562916
2019-05-07,45250,45300,44400,44850,40754.10156,12014907
2019-05-08,44300,44850,44200,44250,40208.89063,10398754
2019-05-09,43900,44250,42450,42450,38573.27344,23029718
2019-05-10,42600,43450,42450,42900,38982.17578,14579512
2019-05-13,42500,43200,42350,42650,38755.01172,7635079
2019-05-14,41300,43100,41300,42650,38755.01172,11563730
2019-05-15,42700,43050,42550,42550,38664.13281,7670185
2019-05-16,42350,42400,41350,41550,37755.46484,13687828
2019-05-17,41950,42050,40850,41200,37437.42969,13357951
2019-05-20,41650,42100,41550,42000,38164.37109,15752397
2019-05-21,42600,43950,42350,43150,39209.33984,18812133
2019-05-22,43700,43800,42400,43500,39527.38281,11033339
2019-05-23,43900,44000,43250,43850,39845.41406,12259006
2019-05-24,43800,43800,42400,42700,38800.44531,13966305
2019-05-27,42500,43000,42350,42650,38755.01172,8066669
2019-05-28,42550,42950,42150,42550,38664.13281,24506881
2019-05-29,41850,42100,41300,41800,37982.63281,14930618
2019-05-30,42200,42700,42150,42550,38664.13281,11766018
2019-05-31,42600,42800,42150,42500,38618.71094,11365999
2019-06-03,42950,43900,42500,43800,39799.97656,15466580
2019-06-04,43400,43700,43000,43450,39481.95313,9913497
2019-06-05,44050,44200,43700,43900,39890.85547,12464135
2019-06-07,43600,44350,43450,44200,40163.45313,11683682
2019-06-10,44300,44850,44050,44800,40708.66016,8792182
2019-06-11,44800,45000,44550,44850,40754.10156,6664872
2019-06-12,44800,45050,44300,44600,40526.91797,8607439
2019-06-13,44200,44400,43400,43750,39754.55469,16906541
2019-06-14,43750,44150,43300,44000,39981.71875,9322873
2019-06-17,43750,44050,43400,43900,39890.85547,11890424
2019-06-18,43750,44500,43650,44350,40299.75391,7994928
2019-06-19,45450,45450,45000,45350,41208.43359,10417690
2019-06-20,44850,45500,44850,45500,41344.73438,7147785
2019-06-21,45750,45800,45200,45700,41526.46484,9454913
2019-06-24,45200,45800,45200,45500,41344.73438,6085066
2019-06-25,45200,45800,45200,45600,41435.59766,7076774
2019-06-26,45800,46000,45600,45700,41526.46484,9226097
2019-06-27,46000,46600,45750,46500,42583.26563,12603534
2019-06-28,47000,47000,46700,47000,43041.14844,12949231
2019-07-01,47350,47400,46250,46600,42674.84375,11383522
2019-07-02,46200,46900,45850,46250,42354.32813,8463073
2019-07-03,45750,46350,45200,45400,41575.91797,9669368
2019-07-04,45250,46200,45250,46000,42125.38281,6365573
2019-07-05,45950,45950,45250,45650,41804.85938,7235395
2019-07-08,44750,44800,44350,44400,40660.15625,7823843
2019-07-09,44850,45450,44700,45100,41301.18359,7646421
2019-07-10,45550,46150,45500,45550,41713.29297,9253930
2019-07-11,46350,46550,46150,46200,42308.53125,10989751
2019-07-12,46350,46400,45800,46300,42400.10938,5245804
2019-07-15,45950,46650,45750,46450,42537.47656,4717226
2019-07-16,46450,46850,46300,46850,42903.78125,7407824
2019-07-17,46150,46350,45950,46050,42171.16797,5216602
2019-07-18,46450,46450,45650,46100,42216.95703,5143554
2019-07-19,46650,46950,46600,46800,42857.99219,8819393
2019-07-22,46800,47300,46600,47200,43224.30469,9009109
2019-07-23,47350,47550,47050,47300,43315.87891,9061381
2019-07-24,47100,47150,46250,46400,42491.69141,8756522
2019-07-25,47150,47200,46600,47200,43224.30469,8408838
2019-07-26,46650,47150,46550,47150,43178.52344,7873886
2019-07-29,46800,47050,46000,46100,42216.95703,6856846
2019-07-30,46300,46850,46300,46550,42629.05078,5551014
2019-07-31,46200,46600,45000,45350,41530.12891,12872916
2019-08-01,44900,45500,44850,45200,41392.76563,7811181
2019-08-02,44550,45500,44300,44950,41163.82422,12151374
2019-08-05,44350,44600,43600,43950,40248.04688,14214086
2019-08-06,42500,43800,42500,43500,39835.95703,15083824
2019-08-07,43600,43900,43100,43200,39561.22656,10002533
2019-08-08,43250,43500,42650,42650,39057.55859,16926881
2019-08-09,43250,43350,43050,43150,39515.43359,9685147
2019-08-12,44000,44000,43550,43700,40019.10938,8466169
2019-08-13,43500,43500,42950,43000,39378.07422,7276979
2019-08-14,43900,44250,43500,43700,40019.10938,8750135
2019-08-16,43800,43900,43300,43900,40202.26172,9528115
2019-08-19,44350,44350,43500,43600,39927.53906,6014218
2019-08-20,43950,44600,43550,44450,40705.94141,8434205
2019-08-21,44350,44800,44150,44500,40751.72266,6571717
2019-08-22,44500,44700,43850,44050,40339.63672,8061177
2019-08-23,43800,44200,43650,43950,40248.04688,5017381
2019-08-26,43050,43800,42950,43600,39927.53906,7954949
2019-08-27,43650,44200,43600,44050,40339.63672,16883932
2019-08-28,44100,44400,43750,44150,40431.20703,5758333
2019-08-29,44200,44200,43050,43400,39744.38281,10768862
2019-08-30,43750,44300,43750,44000,40293.83594,9899073
2019-09-02,44850,44850,43650,43800,40110.69141,7185537
2019-09-03,43550,43650,43100,43250,39607.01563,9774941
2019-09-04,43250,44100,43150,44100,40385.42578,12441837
2019-09-05,44800,46100,44450,45700,41850.64453,18297430
2019-09-06,46500,46500,45850,46300,42400.10938,9896562
2019-09-09,46450,47000,46300,46900,42949.57031,9434157
2019-09-10,47100,47200,46550,47000,43041.14844,9231792
2019-09-11,47300,47400,46800,47150,43178.52344,16141619
2019-09-16,47000,47100,46400,47100,43132.72656,15550926
2019-09-17,47000,47100,46800,46900,42949.57031,7006280
2019-09-18,46900,47700,46800,47700,43682.19141,10413027
2019-09-19,48050,49200,47850,49150,45010.05078,16461413
2019-09-20,49400,49600,49100,49200,45055.84766,15460210
2019-09-23,49250,49300,49000,49300,45147.41406,7568553
2019-09-24,49050,49650,48850,49500,45330.57422,7871955
2019-09-25,49200,49350,48800,48900,44781.11328,9187141
2019-09-26,49000,49250,48900,49200,45055.84766,8494756
2019-09-27,48000,48700,48000,48400,44644.44922,8048041
2019-09-30,48050,49250,47900,49050,45244.00781,9497119
2019-10-01,48900,49100,48650,48850,45059.53125,6206035
2019-10-02,48350,48400,47600,47600,43906.51953,8382463
2019-10-04,47400,48650,47350,48000,44275.48828,9331695
