Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,50800,51780,50800,50840,43719.54688,12868600
2017-12-04,50840,51340,50020,51340,44149.51953,14865050
2017-12-05,50600,51300,50280,51260,44080.72656,9326550
2017-12-06,51260,51560,50020,50020,43014.375,10889200
2017-12-07,50040,50980,50020,50740,43633.54688,11065600
2017-12-08,51360,52000,51040,52000,44717.07813,11290450
2017-12-11,52000,52040,51500,51780,44527.88281,8125850
2017-12-12,51820,52100,51660,52100,44803.07422,8765050
2017-12-13,52100,52100,51100,51320,44132.32031,11333700
2017-12-14,51320,52280,51060,51060,43908.72656,20310400
2017-12-15,51240,51480,50520,50620,43530.35156,14928550
2017-12-18,50620,51240,50620,51200,44029.12109,7350250
2017-12-19,51540,52080,51520,51560,44338.70313,11978600
2017-12-21,51000,51060,49100,49140,42257.63281,15624300
2017-12-22,49400,49960,49240,49700,42739.21094,11199650
2017-12-26,49760,50100,48200,48200,41449.28516,16039850
2017-12-27,48960,49560,48460,49360,42828.91016,10743600
2017-12-28,49560,50960,49500,50960,44217.19531,8985450
2018-01-02,51380,51400,50780,51020,44269.26563,8474250
2018-01-03,52540,52560,51420,51620,44789.87891,10013500
2018-01-04,52120,52180,50640,51080,44321.33203,11695450
2018-01-05,51300,52120,51200,52120,45223.71875,9481150
2018-01-08,52400,52520,51500,52020,45136.95703,8383650
2018-01-09,51460,51720,49980,50400,43731.29688,18013600
2018-01-10,50500,50520,48640,48840,42377.71094,18566800
2018-01-11,48200,49260,48020,48240,41857.10156,25123800
2018-01-12,48240,48480,46760,48200,41822.39453,27270450
2018-01-15,48800,48980,47920,48540,42117.40625,10096000
2018-01-16,48760,50140,48620,50000,43384.22266,20389650
2018-01-17,50020,50020,49060,49620,43054.50781,11053050
2018-01-18,50020,50640,49820,49900,43297.45313,14848850
2018-01-19,50380,50380,49040,49320,42794.20703,9219950
2018-01-22,48640,48680,47960,48240,41857.10156,12520900
2018-01-23,48660,49160,48300,49160,42655.37109,13532700
2018-01-24,48860,49700,48560,49340,42811.55859,9550500
2018-01-25,49220,50360,49160,50260,43609.82422,11160350
2018-01-26,50500,50780,49840,50780,44061.01563,10350100
2018-01-29,51200,51480,50900,51220,44442.80469,11838800
2018-01-30,50440,50640,49780,49800,43210.69531,12284550
2018-01-31,50020,54140,49600,49900,43297.45313,64681300
2018-02-01,50620,50960,49720,49820,43228.04688,27609450
2018-02-02,49380,49400,47700,47700,41388.54688,29260350
2018-02-05,46500,48320,46000,47920,41579.4375,28357900
2018-02-06,46600,47920,46580,47420,41145.59375,19406450
